2026-06-12 17:44:28 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-236-2025-nd-cp-quy-dinh-chi-tiet-mot-so-dieu-cua-nghi-quyet-so-107-2023-qh15-ngay-29-thang-11-nam-2023-cua-quoc-hoi-ve-viec-ap-dung-thue-thu-nhap-doanh-nghiep-bo-sung-theo-quy-dinh-chong-xoi-mon-co-so-thue-toan-cau--181849 (71394 characters)
2026-06-12 17:44:28 | INFO     | crawler |     Nghị định số 236/2025/NĐ-CP Quy định chi tiết một số điều củ...
2026-06-12 17:44:28 | INFO     | crawler |   [4/10]
2026-06-12 17:44:31 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-210-2025-nd-cp-sua-doi-bo-sung-mot-so-dieu-cua-nghi-dinh-so-38-2018-nd-cp-ngay-11-thang-3-nam-2018-cua-chinh-phu-quy-dinh-chi-tiet-ve-dau-tu-cho-doanh-nghiep-nho-va-vua-khoi-nghiep-sang-tao--179899 (25102 characters)
2026-06-12 17:44:31 | INFO     | crawler |     Nghị định số 210/2025/NĐ-CP Sửa đổi, bổ sung một số điều của...
2026-06-12 17:44:31 | INFO     | crawler |   [5/10]
2026-06-12 17:44:35 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-168-2025-nd-cp-ve-dang-ky-doanh-nghiep--179096 (288586 characters)
2026-06-12 17:44:35 | INFO     | crawler |     Nghị định số 168/2025/NĐ-CP Về đăng ký doanh nghiệp...
2026-06-12 17:44:35 | INFO     | crawler |   [6/10]
2026-06-12 17:44:39 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-82-2025-nd-cp-gia-han-thoi-han-nop-thue-gia-tri-gia-tang-thue-thu-nhap-doanh-nghiep-thue-thu-nhap-ca-nhan-va-tien-thue-dat-trong-nam-2025--176829 (20728 characters)
2026-06-12 17:44:39 | INFO     | crawler |     Nghị định số 82/2025/NĐ-CP Gia hạn thời hạn nộp thuế giá trị...
2026-06-12 17:44:39 | INFO     | crawler |   [7/10]
2026-06-12 17:44:39 | INFO     | crawler |   Document fully expired – skipping
2026-06-12 17:44:39 | INFO     | crawler |   [8/10]
2026-06-12 17:44:43 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-24-2025-nd-cp-sua-doi-bo-sung-mot-so-dieu-cua-nghi-dinh-so-98-2020-nd-cp-ngay-26-thang-8-nam-2020-cua-chinh-phu-quy-dinh-xu-phat-vi-pham-hanh-chinh-trong-hoat-dong-thuong-mai-san-xuat-buon-ban-hang-gia-hang-cam-va-bao-ve-quyen-loi-nguoi-tieu-dung-da-duoc-sua-doi-bo-sung-mot-so-dieu-theo-quy-dinh-tai-nghi-dinh-so-17-2022-nd-cp-ngay-31-thang-01-nam-2022-cua-chinh-phu-sua-doi-bo-sung-mot-so-dieu-cua-cac-nghi-dinh-quy-dinh-ve-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-hoa-chat-va-vat-lieu-no-cong-nghiep-dien-luc-an-toan-dap-thuy-dien-su-dung-nang-luong-tiet-kiem-va-hieu-qua-hoat-dong-thuong-mai-san-xuat-buon-ban-hang-gia-hang-cam-va-bao-ve-quyen-loi-nguoi-tieu-dung-hoat-dong-dau-khi-kinh-doanh-xang-dau-va-khi--175419 (78502 characters)
2026-06-12 17:44:43 | INFO     | crawler |     Nghị định số 24/2025/NĐ-CP sửa đổi, bổ sung một số điều của ...
2026-06-12 17:44:43 | INFO     | crawler |   [9/10]
2026-06-12 17:44:46 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-20-2025-nd-cp-sua-doi-bo-sung-mot-so-dieu-cua-nghi-dinh-so-132-2020-nd-cp-ngay-05-thang-11-nam-2020-cua-chinh-phu-quy-dinh-ve-quan-ly-thue-doi-voi-doanh-nghiep-co-giao-dich-lien-ket--175212 (6308 characters)
2026-06-12 17:44:46 | INFO     | crawler |     Nghị định số 20/2025/NĐ-CP Sửa đổi, bổ sung một số điều của ...
2026-06-12 17:44:46 | INFO     | crawler |   [10/10]
2026-06-12 17:44:46 | INFO     | crawler |   Document fully expired – skipping
2026-06-12 17:44:46 | INFO     | crawler | Removed 2 records with missing title/content.
2026-06-12 17:44:46 | INFO     | crawler | Saved 22 documents to /home/nguyenlog205/projects/university/semester65/r2ai-aihoi/src/data/legal_document/metadata_law_doanh_nghiệp.json
2026-06-12 17:44:47 | INFO     | crawler | Moving to next page...
2026-06-12 17:44:48 | INFO     | crawler | Processing page 5 – 10 results
2026-06-12 17:44:48 | INFO     | crawler |   [1/10]
2026-06-12 17:44:52 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-117-2024-nd-cp-sua-doi-bo-sung-mot-so-dieu-cua-nghi-dinh-so-82-2020-nd-cp-ngay-15-thang-7-nam-2020-cua-chinh-phu-quy-dinh-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-bo-tro-tu-phap-hanh-chinh-tu-phap-hon-nhan-va-gia-dinh-thi-hanh-an-dan-su-pha-san-doanh-nghiep-hop-tac-xa--170131 (73354 characters)
2026-06-12 17:44:52 | INFO     | crawler |     Nghị định số 117/2024/NĐ-CP Sửa đổi, bổ sung một số điều của...
2026-06-12 17:44:52 | INFO     | crawler |   [2/10]
2026-06-12 17:44:56 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-89-2024-nd-cp-ve-chuyen-doi-cong-ty-nha-nuoc-duoc-thanh-lap-va-hoat-dong-theo-luat-doanh-nghiep-nha-nuoc-thanh-cong-ty-trach-nhiem-huu-han-mot-thanh-vien-to-chuc-va-hoat-dong-theo-quy-dinh-tai-luat-doanh-nghiep--169133 (55254 characters)
2026-06-12 17:44:56 | INFO     | crawler |     Nghị định số 89/2024/NĐ-CP Về chuyển đổi công ty nhà nước đư...
2026-06-12 17:44:56 | INFO     | crawler |   [3/10]
2026-06-12 17:44:59 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-64-2024-nd-cp-gia-han-thoi-han-nop-thue-gia-tri-gia-tang-thue-thu-nhap-doanh-nghiep-thue-thu-nhap-ca-nhan-va-tien-thue-dat-trong-nam-2024--172686 (21121 characters)
2026-06-12 17:44:59 | INFO     | crawler |     Nghị định số 64/2024/NĐ-CP Gia hạn thời hạn nộp thuế giá trị...
2026-06-12 17:44:59 | INFO     | crawler |   [4/10]
2026-06-12 17:45:02 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-45-2024-nd-cp-sua-doi-bo-sung-mot-so-dieu-cua-nghi-dinh-so-39-2019-nd-cp-ngay-10-thang-5-nam-2019-cua-chinh-phu-ve-to-chuc-va-hoat-dong-cua-quy-phat-trien-doanh-nghiep-nho-va-vua--167276 (16817 characters)
2026-06-12 17:45:02 | INFO     | crawler |     Nghị định số 45/2024/NĐ-CP Sửa đổi, bổ sung một số điều của ...
2026-06-12 17:45:02 | INFO     | crawler |   [5/10]
2026-06-12 17:45:06 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-11-2024-nd-cp-quy-dinh-lai-vay-loi-nhuan-hop-ly-phuong-thuc-thanh-toan-quyet-toan-du-an-dau-tu-theo-hop-dong-bt-mien-thue-thu-nhap-doanh-nghiep-mien-thue-thu-nhap-ca-nhan-tren-dia-ban-thanh-pho-ho-chi-minh--166095 (31167 characters)
2026-06-12 17:45:06 | INFO     | crawler |     Nghị định số 11/2024/NĐ-CP Quy định lãi vay, lợi nhuận hợp l...
2026-06-12 17:45:06 | INFO     | crawler |   [6/10]
2026-06-12 17:45:06 | INFO     | crawler |   Document fully expired – skipping
2026-06-12 17:45:06 | INFO     | crawler |   [7/10]
2026-06-12 17:45:09 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-16-2023-nd-cp-ve-to-chuc-quan-ly-va-hoat-dong-cua-doanh-nghiep-truc-tiep-phuc-vu-quoc-phong-an-ninh-va-doanh-nghiep-ket-hop-kinh-te-voi-quoc-phong-an-ninh-sua-doi-quy-dinh-tai-diem-g-khoan-1-dieu-23-nghi-dinh-so-47-2021-nd-cp-ngay-01-thang-4-nam-2021-cua-chinh-phu-quy-dinh-chi-tiet-mot-so-dieu-cua-luat-doanh-nghiep--166416 (29846 characters)
2026-06-12 17:45:09 | INFO     | crawler |     Nghị định số 16/2023/NĐ-CP Về tổ chức quản lý và hoạt động c...
2026-06-12 17:45:09 | INFO     | crawler |   [8/10]
